,ingredient,amount,ingr_annotation,amount_annotation
0,zucchini,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}"
1,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
2,feta,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Feta""}"
3,schinken,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Schinken""}"
4,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
5,passierte tomaten,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""passiert""}"
6,hähnchenbrust frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""H\u00e4hnchenbrust"", ""eigenschaft"": ""frisch""}"
7,zwiebel frisch,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
8,austernpilze,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Austernpilz""}"
9,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}"
10,frischkäse,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}"
11,öl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l""}"
12,butter,1 klecks,"{""anzahl"": 1, ""einheit"": ""klecks""}","{""zutat"": ""Butter"", ""eigenschaft"": ""klein""}"
13,tomatenmark dreifachkonzentriert,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}"
14,majoran getrocknet,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Majoran"", ""eigenschaft"": ""getrocknet""}"
15,bio hähnchenschlegel,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchenschlegel"", ""eigenschaft"": ""bio""}"
16,hähnchen freilandhaltung,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchen"", ""eigenschaft"": ""Freilandhaltung""}"
17,rapsöl,1 schuss,"{""volumen"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""Raps\u00f6l""}"
18,zwiebeln grob geschnitten,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""geschnitten""}"
19,rosenkohl frisch,190 g,"{""gewicht"": 190, ""einheit"": ""g""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""frisch""}"
20,snackkarotten,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""Snack-""}"
21,lauch längs halbiert undgeschnitten,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}"
22,weißwein trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wein"", ""eigenschaft"": ""trocken""}"
23,champignons,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Champignon""}"
24,sahne flüssig,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}"
25,butter,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Butter""}"
26,mehl,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Mehl""}"
27,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""doppelrahmstufe""}"
28,milch,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}"
