Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
0,zucchini,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}",1.0,stück
1,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",2.0,stück
2,feta,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Feta""}",200.0,g
3,schinken,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Schinken""}",250.0,g
4,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
5,passierte tomaten,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""passiert""}",300.0,g
6,hähnchenbrust frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""H\u00e4hnchenbrust"", ""eigenschaft"": ""frisch""}",500.0,g
7,zwiebel frisch,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",120.0,g
8,austernpilze,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Austernpilz""}",300.0,g
9,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.25,liter
10,frischkäse,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",100.0,g
11,öl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l""}",0.015,liter
12,butter,1 klecks,"{""anzahl"": 1, ""einheit"": ""klecks""}","{""zutat"": ""Butter"", ""eigenschaft"": ""klein""}",1.0,stück
