token,count
g,195
stk,123
el,78
esslöffel,57
stück,56
ml,54
tl,40
prise,37
teelöffel,33
liter,19
päckchen,14
bund,8
gramm,8
scheiben,8
becher,7
zehe,7
gr,6
kleine,6
dose,5
scheibe,5
schuss,5
tasse,5
kopf,4
blatt,3
hand,3
kg,3
stck,3
zehen,3
bestecklöffel,2
cl,2
mal,2
msp,2
pack,2
pck,2
schüssel,2
spritzer,2
stange,2
stiel,2
würfel,2
zweig,2
zweige,2
bd,1
beutel,1
blätter,1
bündel,1
dosen,1
frucht,1
glas,1
kl,1
klecks,1
kleinere,1
knolle,1
l,1
lange,1
mg,1
mittelgross,1
mittelgrosse,1
spr,1
stangen,1
stücke,1
tassen,1
tropfen,1
voll,1
