,Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition
0,0,zucchini,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""175.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zucchini"", ""erkannteZutat"": ""Zucchini roh""}, {""ZF"": 502.25, ""ZE"": 3552.5, ""ZK"": 3946.25, ""ZA"": 0.0, ""GCAL"": 36.75, ""QUALI"": 1.3953504600000002}]]}"
1,1,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.7765804600000002}]]}"
2,2,feta,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Feta""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""feta"", ""erkannteZutat"": ""Feta""}, {""ZF"": 48180.0, ""ZE"": 31360.0, ""ZK"": 1620.0, ""ZA"": 0.0, ""GCAL"": 568.0, ""QUALI"": 99999.0}]]}"
3,3,schinken,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Schinken""}",250.0,g,"{""detailed_info"": [[{""menge"": ""250.0g"", ""einheit"": ""g"", ""bezeichnung"": ""schinken"", ""erkannteZutat"": ""Schwein Schinkenspeck""}, {""ZF"": 19337.5, ""ZE"": 51780.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 380.0, ""QUALI"": 1.6148104600000002}]]}"
4,4,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}"
5,5,passierte tomaten,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""passiert""}",300.0,g,
6,6,hähnchenbrust frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""H\u00e4hnchenbrust"", ""eigenschaft"": ""frisch""}",500.0,g,"{""detailed_info"": [[{""menge"": ""500.0g"", ""einheit"": ""g"", ""bezeichnung"": ""hahnchenbrust"", ""erkannteZutat"": ""Brath\u00e4hnchen Brustfilet roh""}, {""ZF"": 3500.0, ""ZE"": 117750.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 510.0, ""QUALI"": 99999.0}]]}"
7,7,zwiebel frisch,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",120.0,g,"{""detailed_info"": [[{""menge"": ""120.0g"", ""einheit"": ""g"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 300.0, ""ZE"": 1412.4, ""ZK"": 5905.2, ""ZA"": 0.0, ""GCAL"": 33.6, ""QUALI"": 99999.0}]]}"
8,8,austernpilze,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Austernpilz""}",300.0,g,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""g"", ""bezeichnung"": ""austernpilze"", ""erkannteZutat"": ""Austernpilz roh""}, {""ZF"": 660.0, ""ZE"": 10386.0, ""ZK"": 7800.0, ""ZA"": 0.0, ""GCAL"": 69.0, ""QUALI"": 1.6065204600000003}]]}"
9,9,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.25,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""schmand"", ""erkannteZutat"": ""Creme/Schmand""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.8597204600000001}]]}"
