Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition,ingr_json,amount_json,ingr_identified
15,bio hähnchenschlegel,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchenschlegel"", ""eigenschaft"": ""bio""}",4.0,stück,,"[{'ingredient': 'Hähnchenschlegel', 'properties': ['Bio']}]","[{'amount': 4, 'unit': 'Stück'}]",schlegel
31,schokoriegel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Schokoriegel""}",1.0,stück,,[{'ingredient': 'Schokoriegel'}],"[{'amount': 1, 'unit': 'Stück'}]",riegel
32,amarettini mandelkeksezerstoßen,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Amarettini"", ""eigenschaft"": ""zersto\u00dfen""}",0.03,liter,,"[{'ingredient': 'Amarettini', 'properties': ['zerstoßen']}, {'ingredient': 'Mandelkeks', 'properties': ['zerstoßen']}, {'ingredient': 'Amarettini', 'properties': ['zerstoßen']}]","[{'amount': 2, 'unit': 'Esslöffel'}]",mandelkekse
33,deko schirmchen,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schirmchen"", ""eigenschaft"": ""Deko""}",2.0,stück,,[],"[{'amount': '2', 'unit': 'Stück'}]",schirmchen
40,chilisoße  sambal oelek ,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Chiliso\u00dfe"", ""eigenschaft"": ""Sambal Oelek""}",0.0025,liter,,"[{'ingredient': 'Sambal Oelek', 'properties': []}, {'ingredient': 'Chilisauce', 'properties': []}]","[{'amount': 0.5, 'unit': 'teelöffel'}]","sambal 
ölek 
soße"
46,orangenabrieb,1 teelöffel,"{""volumen"": ""1"", ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""orange""}",0.005,liter,,"[{'ingredient': 'Orange', 'properties': ['Abrieb']}]","[{'amount': 1, 'unit': 'teelöffel'}]",orangen
52,datteltomaten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Datteltomate"", ""eigenschaft"": ""ganz""}",4.0,stück,,"[{'ingredient': 'Tomate', 'properties': ['Dattel-']}, {'ingredient': 'Tomate', 'properties': ['Dattel-']}, {'ingredient': 'Datteltomate'}]","[{'amount': '4', 'unit': 'Stück'}]",tomaten
65,riesling trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Riesling"", ""eigenschaft"": ""trocken""}",0.1,liter,,"[{'ingredient': 'Wein', 'properties': ['trocken', 'Riesling']}, {'ingredient': 'Wein', 'properties': ['trocken', 'Riesling']}]","[{'volume': 100, 'unit': 'ml'}]",Wein
103,schinkenwürfel,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Schinkenw\u00fcrfel""}",250.0,g,,"[{'ingredient': 'Schinken', 'properties': ['gewürfelt']}]","[{'weight': 250, 'unit': 'g'}]",schinken
127,asiatische fischsoße,1 el,"{""volumen"": ""1"", ""einheit"": ""el""}","{""zutat"": ""Fischso\u00dfe"", ""eigenschaft"": ""asiatisch""}",0.015,liter,,"[{'ingredient': 'Fischsauce', 'properties': ['asiatisch']}]","[{'amount': 1, 'unit': 'Esslöffel'}]",fischsoße
142,brunch,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Becher"", ""eigenschaft"": ""Brunch""}",0.25,liter,,[],"[{'amount': 1, 'unit': 'Becher'}]",brunch
155,reibekäse,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reibek\u00e4se""}",50.0,g,,"[{'ingredient': 'Käse', 'properties': ['gereibt']}]","[{'weight': 50, 'unit': 'g'}]",Käse
