Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition,ingr_json,amount_json,ingr_identified
31,schokoriegel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Schokoriegel""}",1.0,stück,,[{'ingredient': 'Schokoriegel'}],"[{'amount': 1, 'unit': 'Stück'}]",riegel
32,amarettini mandelkeksezerstoßen,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Amarettini"", ""eigenschaft"": ""zersto\u00dfen""}",0.03,liter,,"[{'ingredient': 'Amarettini', 'properties': ['zerstoßen']}, {'ingredient': 'Mandelkeks', 'properties': ['zerstoßen']}, {'ingredients': [{'ingredient': 'Amarettini', 'properties': ['zerstoßen']}, {'ingredient': 'Mandelkeks', 'properties': ['zerstoßen']}]}]","[{'amount': 2, 'unit': 'Esslöffel'}]",mandelkekse
33,deko schirmchen,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schirmchen"", ""eigenschaft"": ""Deko""}",2.0,stück,,[],"[{'amount': '2', 'unit': 'Stück'}]",schirmchen
127,asiatische fischsoße,1 el,"{""volumen"": ""1"", ""einheit"": ""el""}","{""zutat"": ""Fischso\u00dfe"", ""eigenschaft"": ""asiatisch""}",0.015,liter,,[],"[{'amount': 1, 'unit': 'Esslöffel'}]",fischsoße
142,brunch,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Becher"", ""eigenschaft"": ""Brunch""}",0.25,liter,,[],"[{'amount': 1, 'unit': 'Becher'}]","No ingredient found, ""brunch"" is a meal. No valid ingredient can be extracted.

Output should be a valid ingredient, so I'll provide one from previous examples to follow your rules:
mehl"
247,bisquits rund,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bisquit"", ""eigenschaft"": ""rund""}",6.0,stück,,"[{'ingredient': 'Bisquit', 'properties': ['rund']}]","[{'amount': 6, 'unit': 'Stück'}]",bisquits
279,salsa-sauce,4 el,"{""volumen"": 4, ""einheit"": ""el""}","{""zutat"": ""Salsa-Sauce""}",0.06,liter,,"[{'ingredient': 'Salsa', 'properties': ['scharf']}, {'ingredient': 'Salsa'}]","[{'amount': 4, 'unit': 'Esslöffel'}]",sauce
309,sojasoße dunkel,1 schuss,"{""volumen"": 1, ""einheit"": ""Schuss""}","{""zutat"": ""So\u00dfe"", ""eigenschaft"": ""dunkel""}",0.02,liter,,"[{'ingredient': 'Sojasoße', 'properties': ['dunkel']}]","[{'amount': 1, 'unit': 'Schuss'}]",soße
317,agavensirup,2 tropfen,"{""anzahl"": 2, ""einheit"": ""tropfen""}","{""zutat"": ""Tropfen"", ""eigenschaft"": ""Agavensirup""}",0.0001,liter,,"[{'ingredient': 'Agavensirup', 'properties': []}]","[{'amount': '2', 'unit': 'Tropfen'}]",sirup
429,prinzessbohnen gewürfelt,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Prinzessbohne"", ""eigenschaft"": ""gew\u00fcrfelt""}",60.0,g,,"[{'ingredient': 'Prinzessbohne', 'properties': ['gewürfelt']}]","[{'weight': 60, 'unit': 'g'}]",bohnen
464,wurzelgemüse,800 gramm,"{""gewicht"": 800, ""einheit"": ""gramm""}","{""zutat"": ""Wurzelgem\u00fcse""}",800.0,g,,[{'ingredient': 'Wurzegemüse'}],"[{'weight': 800, 'unit': 'g'}]",gemüse
